Description,Name,GTEX-11DXY-0526-SM-5EGGQ,GTEX-11DXZ-0126-SM-5EGGY,GTEX-11EQ9-0526-SM-5A5JZ,GTEX-11GSP-0626-SM-5986T,GTEX-11NUK-1226-SM-5P9GM,GTEX-11OF3-0726-SM-5BC4Z,GTEX-11TT1-1726-SM-5EQLJ,GTEX-11TUW-1726-SM-5BC5C,GTEX-11WQC-0726-SM-5EQMR,GTEX-11ZTS-1426-SM-5EQMM,GTEX-11ZUS-2526-SM-59872,GTEX-11ZVC-0726-SM-5FQT9,GTEX-1212Z-0226-SM-59HLF,GTEX-12696-0826-SM-5EGGE,GTEX-1269C-0626-SM-5FQSS,GTEX-12KS4-1326-SM-5LUB3,GTEX-12WSD-1426-SM-5GCN9,GTEX-12WSG-0626-SM-5FQTQ,GTEX-12WSL-0226-SM-5CVMJ,GTEX-13113-1326-SM-5GCOI,GTEX-131XE-0326-SM-5LZVO,GTEX-131XH-0626-SM-5LZWH,GTEX-131YS-1626-SM-5HL6C,GTEX-132AR-0426-SM-5IFH8,GTEX-132NY-0926-SM-5P9G3,GTEX-1399R-1226-SM-5P9GF,GTEX-1399T-0826-SM-5IFES,GTEX-139TS-1426-SM-5IFJD,GTEX-139TU-0826-SM-5IJFG,GTEX-13FTW-1126-SM-5J2NV,GTEX-13N11-0926-SM-5IJG2,GTEX-13N2G-0926-SM-5IFGJ,GTEX-13NYB-1026-SM-5IFH3,GTEX-13O1R-2026-SM-5KM3N,GTEX-13O3O-1826-SM-5IFGW,GTEX-13OW6-2626-SM-5IFF2,GTEX-13PVQ-1526-SM-5IFEQ,GTEX-13PVR-0126-SM-5S2PY,GTEX-13QJC-0726-SM-5RQJK,GTEX-13SLX-1226-SM-5S2Q6,GTEX-13VXU-0926-SM-5IFFH,GTEX-144GL-1426-SM-79OMA,GTEX-144GM-1326-SM-5LU5E,GTEX-145MF-0826-SM-5QGQA,GTEX-145MO-2326-SM-5NQ9K,GTEX-146FH-1526-SM-5NQBU,GTEX-14753-1626-SM-5NQ9L,GTEX-147F4-1426-SM-5LUA8,GTEX-147GR-1326-SM-7IGLB,GTEX-147JS-1126-SM-5RQIW,GTEX-148VI-0626-SM-5TDDH,GTEX-1497J-0726-SM-5Q5D1,GTEX-14A5I-1726-SM-5QGQ5,GTEX-14AS3-0126-SM-5Q5F4,GTEX-14BIL-1326-SM-79OMR,GTEX-14C38-1526-SM-5RQJ7,GTEX-14DAQ-1726-SM-5S2R2,GTEX-14E1K-0326-SM-5S2PE,GTEX-14E7W-1526-SM-6871X,GTEX-14JG1-1626-SM-664NH,GTEX-14PHX-0526-SM-664NW,GTEX-14XAO-0226-SM-68728,GTEX-15DYW-1326-SM-6LPIV,GTEX-15ER7-1826-SM-6LLI7,GTEX-15RJ7-2026-SM-6LPJ4,GTEX-15RJE-1126-SM-6LPI5,GTEX-15SHU-1826-SM-7KUKS,GTEX-17F96-1226-SM-79OK2,GTEX-17HHE-0126-SM-79398,GTEX-17HII-1026-SM-7IGLY,GTEX-17MF6-1126-SM-7DUFS,GTEX-18465-1626-SM-7LG6N,GTEX-18A66-2026-SM-7189C,GTEX-18A6Q-2026-SM-718AQ,GTEX-18A7A-1526-SM-72D69,GTEX-18D9B-1526-SM-7KFRK,GTEX-1A32A-0826-SM-72D5C,GTEX-1A8FM-1226-SM-7IGMD,GTEX-1A8G7-1126-SM-731ED,GTEX-1AMFI-0826-SM-731DV,GTEX-1AX8Z-1026-SM-7189R,GTEX-1AX9I-1626-SM-72D5D,GTEX-1B8L1-0726-SM-7P8RT,GTEX-1B8SG-1326-SM-79ONT,GTEX-1B932-1426-SM-793AN,GTEX-1B933-1226-SM-731DW,GTEX-1B996-1426-SM-7EPIA,GTEX-1BAJH-1526-SM-7RHGI,GTEX-1C6VQ-1626-SM-79OO1,GTEX-1CB4F-1726-SM-7MGXH,GTEX-1CB4J-0726-SM-7IGN8,GTEX-1E2YA-1226-SM-7MGY3,GTEX-1EH9U-1126-SM-7IGLU,GTEX-1EKGG-1226-SM-7IGNO,GTEX-1EWIQ-0726-SM-7MKFW,GTEX-1F75A-1626-SM-9JGGT,GTEX-1GF9V-1226-SM-7MKGY,GTEX-1GF9W-0826-SM-7MKHI,GTEX-1GF9X-0426-SM-7MKHN,GTEX-1GN1U-0926-SM-9WPPY,GTEX-1GN2E-0926-SM-9WPOH,GTEX-1GN73-1126-SM-9OSW5,GTEX-1GZ4I-1526-SM-9OSW9,GTEX-1H11D-0826-SM-9OSWB,GTEX-1HB9E-0626-SM-AHZ4K,GTEX-1HBPH-2626-SM-A96TV,GTEX-1HBPI-1026-SM-AHZ4N,GTEX-1HCVE-1526-SM-B2LWW,GTEX-1ICG6-1026-SM-B2LY6,GTEX-1ICLY-1526-SM-C1YS4,GTEX-1IKJJ-1526-SM-C1YSC,GTEX-1IKK5-0326-SM-C1YPY,GTEX-1J8EW-1626-SM-C1YQ8,GTEX-1JJEA-1526-SM-CNNPK,GTEX-1JMLX-1326-SM-CXZJO,GTEX-1K9T9-0726-SM-CXZJZ,GTEX-1KAFJ-0726-SM-CXZKF,GTEX-1KANB-2226-SM-DHXJW,GTEX-1KD5A-1226-SM-CXZK7,GTEX-1KWVE-0326-SM-EV7AF,GTEX-1LGRB-0626-SM-CNNQH,GTEX-1LH75-0926-SM-EAZ5C,GTEX-1MJIX-0726-SM-DPRYP,GTEX-1NV8Z-1626-SM-DPRYT,GTEX-1PBJJ-0626-SM-DPRYO,GTEX-1PIIG-1326-SM-EXOIR,GTEX-1QCLZ-1226-SM-EAZ49,GTEX-1QP66-0226-SM-DPRXS,GTEX-1QP6S-1326-SM-DPRZ8,GTEX-1QPFJ-1126-SM-E9U5V,GTEX-1R9JW-0826-SM-DPRZJ,GTEX-1RQEC-1126-SM-EAZ5E,GTEX-O5YT-0826-SM-3TW8N,GTEX-OIZF-0826-SM-3MJGO,GTEX-OOBJ-0826-SM-3NB2K,GTEX-P44G-1126-SM-3NM9D,GTEX-P78B-1326-SM-3P611,GTEX-PX3G-0826-SM-48TZS,GTEX-Q2AG-1126-SM-48U1P,GTEX-Q734-0326-SM-48U15,GTEX-QDVN-0826-SM-48TZ2,GTEX-QEG4-1826-SM-CKZN9,GTEX-QEL4-1226-SM-447A4,GTEX-QESD-2026-SM-447BI,GTEX-QV44-0326-SM-C1YQX,GTEX-R53T-0326-SM-48FEC,GTEX-REY6-1226-SM-48FDR,GTEX-RM2N-1926-SM-48FCU,GTEX-RN64-1826-SM-48FDV,GTEX-RNOR-1426-SM-48FDJ,GTEX-RTLS-1326-SM-46MUN,GTEX-RU72-1426-SM-46MUF,GTEX-RWSA-1426-SM-47JXA,GTEX-S32W-1926-SM-4AD63,GTEX-S33H-1626-SM-4AD68,GTEX-S4Z8-0526-SM-4AD4T,GTEX-SJXC-1226-SM-4DM78,GTEX-T6MN-1226-SM-3NMA5,GTEX-TKQ2-1726-SM-4DXUP,GTEX-U3ZN-0226-SM-3DB8D,GTEX-U8XE-1526-SM-4E3HT,GTEX-UPK5-1426-SM-4JBHH,GTEX-UTHO-2426-SM-4JBHD,GTEX-VUSG-0126-SM-4KL1X,GTEX-WFON-1726-SM-4LVMQ,GTEX-WK11-1326-SM-4OOSI,GTEX-WQUQ-1926-SM-4OOSA,GTEX-WY7C-0726-SM-4ONCB,GTEX-WYVS-1926-SM-4PQZ2,GTEX-WZTO-0626-SM-4PQYY,GTEX-X3Y1-2726-SM-4PQZH,GTEX-X4EO-1126-SM-4QARQ,GTEX-X4EP-1026-SM-4QAS5,GTEX-X4XY-1626-SM-46MVN,GTEX-XBEC-1526-SM-4AT68,GTEX-XXEK-1126-SM-4BRUX,GTEX-Y5LM-0426-SM-4VBRO,GTEX-Y5V5-0926-SM-4VBPZ,GTEX-YB5E-0326-SM-5IFHU,GTEX-YEC4-0826-SM-5P9FV,GTEX-YECK-1926-SM-4W21H,GTEX-YFC4-1526-SM-5IFJS,GTEX-Z9EW-0426-SM-5CVM9,GTEX-ZAB5-0426-SM-5CVMI,GTEX-ZEX8-0826-SM-4WKHK,GTEX-ZF29-2026-SM-DNZYW,GTEX-ZF2S-3026-SM-4WWCH,GTEX-ZPU1-0826-SM-57WG2,GTEX-ZTPG-1426-SM-51MT3,GTEX-ZVP2-0626-SM-51MSO,GTEX-ZVT3-1626-SM-5GU66,GTEX-ZYT6-0626-SM-5E45V,GTEX-ZZPU-0426-SM-5GZYH
BATF,ENSG00000156127.6,0.4762,1.111,2.096,0.5067,0.7187,0.3761,2.518,1.925,0.465,0.3585,0.4603,0.423,0.7464,0.7259,1.063,0.355,1.007,2.231,0.6526,1.481,5.512,1.073,0.5611,37.77,0.7216,1.446,1.213,1.503,1.584,1.979,2.368,1.16,1.093,3.351,1.242,0.3784,2.454,0.4624,1.064,2.833,0.1418,0.1226,2.73,0.9097,2.923,5.985,0.7299,0.7867,1.507,0.6068,1.522,10,0.4195,0.6373,0.685,3.277,0.7367,0.6339,0.2948,0.5018,1.091,5.29,0.8319,1.088,3.168,0.6888,0.5579,1.195,0.5437,0.6221,8.489,0.7499,1.438,0.1656,0.4164,6.238,2.445,0.6501,2.001,0.3599,3.067,0.8622,0.9259,1.344,3.951,0.6435,1.856,0.9228,0.8548,2.722,3.84,2.861,1.154,0.5475,0.5897,0.3096,0.8894,2.481,2.458,0.6381,0.3627,2.712,0.5265,1.477,4.987,0.6865,1.307,0.6317,0.6105,5.205,0.6133,3.529,0.6192,0.4405,0.8285,5.528,1.567,0.4152,2.768,1.031,8.533,1.065,0.8701,0.2791,2.827,0.8006,1.161,1.872,0.8055,1.854,2.043,0.4626,17.78,1.521,0.9906,2.14,1.003,1.987,1.938,6.984,16.55,0.2572,7.781,3.43,2.58,1.331,3.976,2.209,0.7202,0.345,0.8952,0.9845,1.704,5.527,1.879,1.401,0.7235,0.8555,2.478,0.8389,5.402,1.918,2.455,2.004,0.9175,1.262,4.953,2.36,2.882,0.6861,3.031,0.4947,14.43,3.753,1.45,1.377,1.897,0.9275,3.823,1.557,0.8897,1.778,0.9673,1.588,1.525,0.396,1.247,2.327,8.972,4.094,2.15,0.4646,0.8077
LINC01127,ENSG00000281162.2,12.72,11.17,3.912,7.506,14.91,13.01,1.359,0.308,5.78,11.56,5.844,6.8,5.793,2.408,2.073,6.964,5.311,0.762,6.383,3.13,1.533,7.271,10.36,3.959,17.4,9.553,11.68,11.7,10.06,4.411,1.629,11.58,4.056,0.9206,0.4828,8.197,0.8856,5.952,8.014,5.21,12.63,4.537,0.3618,18.92,4.851,5.406,4.547,11.56,8.178,5.756,5.329,3.686,9.651,9.797,12.09,2.446,13.86,4.644,14.96,18.14,7.709,4.036,12.43,3.835,3.312,10.89,6.731,15.46,4.328,5.775,6.897,8.035,6.267,12.4,20.44,2.993,1.45,6.054,18.41,7.795,7.364,7.195,25.5,0.7431,5.66,15.77,1.963,6.722,11.01,7.129,0.463,8.635,12.57,12.29,6.233,6.102,7.343,0.5988,3.581,5.789,3.046,2.111,3.157,7.18,10.97,3.277,12.09,4.119,9.709,2.304,4.294,2.751,21.2,9.173,3.352,4.42,3.62,26.78,14.06,17.44,2.577,2.532,5.94,5.004,5.087,2.817,15.73,5.674,7.07,4.023,3.738,8.445,4.197,8.131,4.058,0.2246,8.857,11.31,4.623,21.75,1.663,5.601,2.144,7.913,5.658,3.2,6.678,3.241,19.76,4.992,8.425,4.835,1.087,1.107,4.366,7.59,14.18,17.26,4.033,7.088,0.4049,7.077,4.19,1.541,8.555,2.622,9.417,8.221,4.918,10.07,7.777,1.415,2.259,2.738,4.958,0.3293,3.394,19.93,3.072,7.903,9.704,6.951,3.28,6.333,6.97,4.882,3.412,2.276,3.674,9.795,16.06,7.668,10.24
AC053503.4,ENSG00000229525.1,0.6576,0.2777,0.3114,0.2881,0.3357,0.8147,0,0,0.4533,0.1747,0.4223,0.4765,0.6893,0.04966,0.1536,0.5639,0.3166,0.04677,0.09425,0.1234,0,0.2712,0.8888,0.3107,0.2662,1.279,0.3735,0.8009,0.2574,0.1324,0.2594,0.5321,0.3013,0,0,0.7153,0,0.1002,0.192,0.4864,0.7143,1.096,0,0.5025,0.1664,0.2012,0.4284,0.2556,0.7835,0.5335,0.04209,0.01816,0.159,1.113,0.4699,0.03981,0.7481,0.1177,0.7662,1.158,0.1866,0,0.7028,1.157,0,0.2686,0.3626,0.478,0.8479,0.5131,0.4275,1.029,0.2336,0.3588,0.7893,0.08969,0.08951,0.07921,0.4907,0.08772,0.3025,0.1807,0.468,0,0.1646,0.9559,0.0778,0.2999,0.2047,0.6829,0.01053,0.2948,0.3376,0.7455,0.2421,0.2766,0.2729,0,0.2887,0.2304,0.1179,0.05108,0.2955,0.5645,0.2684,0.2045,0.5521,0.4333,0.3747,0.03146,0.3986,0.04286,0.5487,0.9269,0.1731,0.03438,0.09258,0.9669,0.2436,0.2009,0.1145,0.1275,0.01714,0.6736,0.03828,0.4114,0.1132,0.1921,0.2094,0.2375,0.4362,0.799,0,0.4735,0.515,0,0.1838,0.2483,0.5038,0.3631,0.08766,0.3343,0,0.3767,0.4234,0.3659,0.2871,0.1025,1.817,1.301,0.4251,0.2513,0.07384,0.1928,0.4071,0.1677,0.7641,0.5886,0.2684,0.1764,0,0.3534,0.4401,0.1202,0.1084,0.06376,0.1847,0.1677,0.2398,0.5945,0.05709,0,0.1574,0.04877,0.4947,0.02796,0.1622,1.102,0.241,0.06932,0.4878,0.09793,0.1048,0.3159,0.2403,0.01609,0.2946,0.06302,0,0.2399,1.028,0.3774,0.2999
LOC105377267,ENSG00000250696.5,2.07,0.9908,2.047,3.749,1.576,13.85,0.1773,0.03982,4.439,3.85,2.511,1.859,2.972,0.5828,0.5768,1.251,2.537,0,0.1991,0.6953,0.4136,1.819,6.184,2.175,3.356,1.618,14.44,2.256,1.785,0.8169,1.981,1.749,8.124,0.3145,0.397,5.268,0.2995,0.5016,1.262,13.24,7.767,4.415,0.04327,4.191,0.2604,4.533,0.6178,3.814,4.435,1.982,0.6323,1.33,0.9387,8.92,2.531,0.2056,2.978,0.6907,2.998,4.134,0.8237,0.3498,7.031,6.381,0.3491,0.7355,2.432,4.18,4.877,1.592,1.051,1.847,4.138,3.218,4.045,0.3369,0.6724,5.269,4.976,1.071,1.855,3.292,1.381,0.3873,1.484,14.22,0.1826,5.659,1.18,5.1,0.5636,1.661,0.634,3.134,3.769,1.488,1.553,0.9616,1.879,0.8653,3.209,0.2758,3.476,3.728,0.7382,1.414,7.218,2.313,2.07,0,5.284,0.6439,4.293,3.558,1.535,0.9039,0.3651,7.938,2.041,13.84,1.971,0.154,0.9654,6.082,1.276,0.8067,2.48,0.1002,1.131,3.377,4.915,4.182,0.3254,4.601,6.131,0.08544,5.194,1.445,2.897,4.112,0.05487,2.686,4.42,2.565,0.6997,6.434,0.5167,0.4574,4.757,8.085,1.975,1.523,0.832,0.2037,4.205,2.16,1.637,7.232,0.6644,1.43,0.03725,2.742,2.867,1.016,0.2799,3.357,1.016,1.26,1.297,5.605,0.67,0.2372,1.625,0.3893,5.11,0.07876,0.9596,3.994,0.4352,0.2213,4.318,1.6,0.2951,4.133,2.172,0.2266,2.282,0.6706,0.6109,0.2253,6.534,2.676,2.934
RP11-94C24.13,ENSG00000275897.1,0.8955,1.172,1.563,0.591,1.976,0.7003,0.05532,0.04971,0.7591,1.14,0.4641,0.3867,0.8229,0.7276,0.1013,0.2704,0.5443,0.06852,0.2209,0.8824,0.1033,1.135,0.9884,0.7119,1.3,1.943,1.593,0.4579,0.5918,0.9533,0.5068,0.5847,0.4667,0.09817,0.04505,1.1,0.1469,0.8611,0.3826,0.9773,0.7563,0.7707,0,1.057,0.2032,0.1834,0.7981,0.8656,0.4975,0.3127,0.9003,0.5002,0.3728,2.048,0.8407,0.06999,2.175,1.259,1.272,1.73,1.017,0.09926,1.521,1.054,0.05028,0.6034,1.123,1.016,1.118,0.6835,1.778,1.195,0.2373,1.104,5.353,0.347,1.036,0.4565,0.3739,1.131,0.2816,0.4661,3.108,0.1138,0.5788,2.223,0.2964,1.134,0.7882,0.5276,0.03703,0.5847,0.3517,0.6355,0.5202,0.3906,0.2258,0.1532,0.5188,0.8506,0.2763,0.4042,0.8933,0.8491,0.281,1.079,0.7053,0.7752,0.7622,0.08298,0.5513,0.3391,0.8468,2.173,0.3832,0.07052,0.06511,2.346,0.5161,0.6575,0.492,0.04272,1.004,0.5314,0.3141,0.3688,0.8405,0.2628,0.3988,1.73,0.7559,0.3849,0.3554,1.243,1.056,0.007619,0.6072,0.5966,0.283,1.197,0.1713,0.5552,0.4729,0.9568,0.8834,0.8383,0.3225,0.7663,1.533,1.262,0.4065,0.3616,0.3787,0.1695,0.2983,0.4493,1.447,0.5079,0.4576,1.128,0.0465,0.7632,0.6287,0.1409,0.9848,0.2716,0.2474,0.9268,0.676,0.9872,0.803,0.2288,0.4216,0.05717,0.3314,0.06554,0.6655,2.291,0.2934,0.2844,0.413,0.4821,0.5987,1.345,0.5106,1.037,0.8202,0.2339,0.2493,0.7414,1.73,1.637,0.791
RP4-539M6.21,ENSG00000272689.1,7.137,2.91,1.153,3.094,6.783,7.547,2.58,0.4831,6.589,3.025,4.088,4.175,4.536,0.6787,3.061,3.036,1.538,0.9588,0.4294,1.012,2.809,3.707,4.153,3.346,3.118,3.985,4.443,4.45,2.075,0.1723,1.733,2.727,3.922,1.145,0.7004,3.87,0.519,0.6085,5.687,7.439,5.984,6.989,0.105,1.616,1.263,3.157,0.9062,0.9058,5.553,4.333,0.6711,0.7446,1.656,9.434,6.197,1.814,4.226,2.011,4.218,4.903,1.616,0.6172,5.049,6.953,0.6514,1.326,8.85,7.622,2.414,2.905,2.875,6.66,2.27,9.154,5.343,0.7355,0.3059,2.045,4.694,3.33,0.9729,2.059,9.442,0.6633,1.05,10.48,1.861,5.601,1.332,1.98,0,1.446,1.453,2.47,5.33,1.489,2.633,0.4963,2.981,4.723,1.253,1.513,3.543,5.829,1.398,2.795,1.032,2.597,3.314,1.218,4.14,0.9764,2.583,3.85,4.38,1.488,2.193,7.888,2.475,4.12,0.6954,1.079,1.327,6.846,0.9592,4.245,1.891,0.7781,2.385,1.159,1.728,2.523,2.447,4.596,4.609,0,2.589,1.131,3.538,5.893,0.1331,3.723,0.4902,2.432,3.009,5.759,0.9809,1.869,9.157,11.95,2.039,2.082,2.018,2.306,2.087,0.9823,2.499,12.96,0.3335,1.315,0.6325,4.238,4.511,0.365,0.6174,1.375,1.683,1.856,2.445,6.545,1.43,0.7323,0.8193,0.7777,3.864,0.7642,1.774,3.687,0.2534,0.6948,2.511,1.785,2.267,3.358,0.5475,2.125,2.237,0.5742,1.824,1.49,5.884,7.136,1.025
AFF1,ENSG00000172493.20,13.1,12.51,13.56,10.02,12.91,17.47,7.245,6.992,12.55,13.89,6.516,8.367,9.666,9.7,7.54,10.78,9.309,10.91,7.538,8.766,9.917,5.841,11.13,12.59,8.878,12.76,14.28,8.067,9.142,11.74,11.04,8.45,13.04,9.147,6.628,13.73,10.54,11.33,7.91,15.09,11.98,7.941,7.833,10.74,5.191,12.91,6.171,10.65,9.678,10.09,9.466,7.831,9.977,16.85,12.24,4.385,11.82,11.2,12.12,13.76,13.93,8.64,12.84,9.672,11.79,5.363,13.38,16.23,19.37,8.16,9.841,6.893,11.43,14.72,18.05,13.18,13.69,12.03,10.41,19.27,9.396,7.47,13.48,8.978,12.28,12.43,7.619,17.68,12.73,9.552,4.978,7.308,7.598,9.085,11.9,5.475,6.253,7.631,9.203,11.47,9.009,13.9,6.765,12.27,11.65,11.45,8.452,13.3,17.78,6.219,9.35,12.91,11.59,10.94,10.26,8.972,9.628,20.33,8.055,10.03,11.75,9.012,7.8,13.78,7.099,5.738,12.17,6.56,9.459,14.58,8.625,7.533,19.1,18.73,13.27,8.638,11.16,9.948,9.979,13.55,11.09,10.09,11.62,12.04,10.81,18.65,11.81,10.13,8.98,10.69,11.29,7.666,9.934,8.826,11.7,11.41,8.368,11.89,11.2,15.04,6.13,10.28,15.78,7.191,9.529,5.079,6.103,10.7,13.78,10.02,12.3,8.148,13.44,7.813,7.201,11.17,9.769,15.63,12.03,11.63,8.948,9.224,13.51,14.42,11.95,12.7,15.24,13.93,15.37,8.708,16.39,11.96,12.76
RP11-793J2.1,ENSG00000283667.1,1.639,0.5265,0.4993,0.9412,0.7163,1.757,0.1404,0.04731,0.2408,0.5846,0.471,0.4088,0.7118,0.3046,0.4068,0.486,0.1648,0.1565,0.1577,0.3304,0,0.3673,1.118,0.3781,0.4665,0.3931,1.273,0.8497,0.53,0.2742,0.3086,0.7418,0.5761,0.09341,0.2572,0.9225,0,0.2979,0.257,0.7362,0.6682,0.6445,0.05139,0.5275,0.2475,0.2493,0.3072,0.3802,0.5826,0.5692,0.5868,0.1215,1.216,0.4331,0.5793,0.1332,0.9345,0.06564,0.819,0.873,0.4372,0.1889,0.6332,0.7526,0.1276,0.4993,1.069,1.233,0.2364,0.6417,0.6585,1.147,0.2953,1.081,0.9559,0.3802,0.04992,0.4123,0.9578,0.1957,0.09924,0.4032,0.6711,0.3789,0.2203,1.733,0.1519,1.221,0.3913,0.4501,0.02349,0.5311,0.4393,1.512,1.822,0.5189,0.6626,0.243,0.4293,0.4111,0.4163,0.2849,0.7633,0.5876,0.5347,0.6635,1.011,0.8394,0.3442,0.07019,0.4979,0.09561,0.918,1.064,0.4289,0.115,0.4956,0.4514,0.4179,0.8592,0.3547,0.08129,0.8027,1.127,0.491,0.4994,0.6454,0.1905,0.6423,0.4542,0.3173,1.05,0.1546,0.643,0.9847,0.1015,0.3914,0.9416,0.4683,0.3543,0.03259,0.7666,0.12,0.6303,0.4156,0.371,0.3736,0.3431,1.29,0.8003,0.574,0.5352,0.04118,0.3226,0.2271,0.4275,0.6993,2.243,0.4354,0.5008,0.08849,0.4565,0.4602,0.06703,0.2418,0.5832,0.1472,0.1336,0.3312,1.243,0.3502,0.2049,0,0,1.077,0.06237,0.398,0.9796,0.2482,0.1701,0.8061,0.568,0.05843,0.09395,0.3686,0.2691,0.4655,0.2577,0.1116,0.2433,1.499,0.421,0.6133
RELB,ENSG00000104856.13,1.388,4.949,3.846,2.736,2.661,1.757,15.66,15.39,2.323,2.932,1.087,2.22,3.648,2.38,3.466,5.065,3.972,10.6,2.841,3.223,18.12,1.174,1.501,21.61,5.069,3.992,8.981,5.239,2.911,5.707,5.197,2.425,13.38,45.71,13.75,3.234,38.81,3.122,1.186,11.24,1.586,1.828,36.92,3.321,5.464,7.441,6.236,3.825,4.301,2.497,10.14,7.807,7.202,1.736,1.411,14.35,2.499,3.029,1.831,2.628,5.5,11.67,3.975,1.578,12.82,5.963,0.8987,1.827,1.995,4.079,24.15,1.412,7.748,3.06,2.242,4.442,26.57,5.948,6.767,2.098,7.692,1.552,4.928,14.13,9.428,3.724,2.391,1.473,9.733,7.85,10.73,8.161,2.427,5.65,1.863,2.374,2.077,27.77,2.049,8.888,3.293,33,5.04,4.825,6.248,10.53,4.921,1.864,1.322,14.31,1.519,8.205,2.549,1.788,4.41,18.97,7.362,3.399,4.253,1.339,10.69,9.12,2.661,1.783,9.14,1.416,2.293,3.478,6.296,4.221,5.678,1.991,19.69,5.679,2.261,31.31,4.452,7.36,2.099,19.87,10.95,1.464,6.929,12.56,7.112,3.091,12.04,8.579,1.344,1.253,4.619,4.744,17.66,9.669,18.14,2.381,2.27,2.481,14.7,1.811,45.03,7.024,18.73,10.99,4.814,2.625,3.802,9.512,8.402,0.6847,1.309,8.09,23.2,11.9,2.868,12.91,3.005,2.806,11.87,9.833,3.379,6.773,4.098,2.65,5.689,3.198,5.285,15.58,20.62,5.105,5.054,0.5438,1.338
XPA,ENSG00000136936.10,9.499,12.59,12.89,8.059,11.62,9.539,7.507,5.548,12.95,7.541,6.818,7.75,9.808,8.211,8.797,10.92,9.081,12.25,8.432,8.792,7.44,6.28,8.793,8.227,8.029,11.08,14.08,8.855,9.252,9.476,11.81,8.372,9.083,11.66,5.644,12.41,6.186,10.91,6.698,9.603,12.04,7.212,6.823,7.369,5.761,12.89,5.324,10.09,8.452,9.638,12.33,7.679,6.991,14.86,9.298,4.994,10.71,9.586,11.71,9.337,10.12,6.98,13.03,8.366,10.66,8.046,8.48,12.09,21.16,8.149,10.45,8.657,9.813,13.14,13.69,7.837,5.689,8.352,10.62,9.189,8.828,9.145,9.864,10.58,11.64,10.86,9.281,12.53,7.144,12.72,6.861,11.17,6.882,9.144,11.3,4.593,9.563,7.529,9.943,8.908,7.191,5.936,8.381,12.28,9.765,7.998,8.666,12.72,10.97,7.701,10.7,8.621,11.83,9.431,10.87,10.75,8.317,14.47,10.7,12.91,9.983,8.859,4.539,9.186,7.936,4.689,10.99,9.906,10.7,9.407,12.33,6.802,11.4,15.06,12.11,3.155,10.67,12.17,9.014,8.046,9.303,9.52,8.497,9.866,11.31,14.89,7.774,9.111,8.653,8.67,9.26,10.43,4.495,11.36,11.45,9.618,8.188,10.02,8.592,15.47,3.524,12.34,18.28,8.586,7.648,4.504,8.336,10.9,11.97,7.479,9.017,7.141,6.455,6.661,10.39,5.313,13.67,10.21,13.53,8.235,11.3,9.007,9.244,12.51,12.16,10.79,11.98,14.2,9.079,8.881,13.29,10.04,10.55
LOC101929427,ENSG00000254607.2,6.781,1.809,15.28,10.35,16.62,13.82,4.881,1.645,18.15,8.24,14.03,13.7,17.03,0.3852,0.5956,3.181,22.14,3.338,1.535,7.812,1.276,11.78,29.98,2.542,14.71,28.35,15.97,26.61,26.6,6.045,0.6439,6.948,14.02,3.768,0.954,4.023,3.181,2.797,30.86,133.1,34.18,28.56,0,8.53,2.366,14.29,5.365,0.9694,16.07,27.28,0.9794,6.254,0.7755,34.78,77.73,0.06176,8.914,0.5478,35.96,17.2,1.448,0,16.27,34.74,0.7098,1.111,18.4,29.39,30.7,24.27,0.1895,46.26,2.754,81.83,14.42,0.9463,5.347,10.9,12.64,15.79,0.2209,5.384,15,1.506,0.5107,20.48,5.371,18,4.355,6.453,0.196,8.161,22.87,18.98,34.24,8.778,18.08,1.149,12.78,11.08,31.15,10.3,14.09,96.51,4.046,6.287,18.01,16.42,18.74,0.6834,27.75,16.49,15.61,28.55,24.76,0,1.436,16.12,5.116,19.48,1.776,0.3392,10.85,42.04,5.939,35.59,25.68,0.265,6.822,23.48,6.238,11.83,7.365,31.94,4.109,0,57.66,16.8,23.97,20.98,0.09066,5.245,4.507,14.13,3.521,36.95,0.8908,9.625,23.49,21.08,15.48,13.82,6.014,0.1496,5.053,11.08,11.31,92.24,1.287,2.637,0.1231,19.45,0.9388,0.3108,6.055,8.428,1.064,12.27,0.4606,13.45,2.923,1.425,0.7673,1.589,28.87,0.2602,51.24,22.23,8.629,5.549,13.74,6.381,10.89,12.68,8.669,6.538,15.01,0.2607,0.4659,5.752,28.54,35.95,2.559
